,vehicle,country,year,zero_emission_vehicles_percentage
181,"Buses, motor coaches, and trolley buses",Latvia,2015,8.896
182,"Buses, motor coaches, and trolley buses",Latvia,2016,11.261
183,"Buses, motor coaches, and trolley buses",Latvia,2017,0.696
184,"Buses, motor coaches, and trolley buses",Latvia,2018,3.37
185,"Buses, motor coaches, and trolley buses",Latvia,2019,3.076
186,"Buses, motor coaches, and trolley buses",Latvia,2020,30.487
187,"Buses, motor coaches, and trolley buses",Latvia,2021,13.178
188,"Buses, motor coaches, and trolley buses",Latvia,2022,7.553
189,"Buses, motor coaches, and trolley buses",Latvia,2023,25.842
190,"Buses, motor coaches, and trolley buses",Malta,2014,0.0
191,"Buses, motor coaches, and trolley buses",Malta,2015,0.0
192,"Buses, motor coaches, and trolley buses",Malta,2016,0.0
193,"Buses, motor coaches, and trolley buses",Malta,2017,0.0
194,"Buses, motor coaches, and trolley buses",Malta,2018,0.0
195,"Buses, motor coaches, and trolley buses",Malta,2019,0.0
196,"Buses, motor coaches, and trolley buses",Malta,2020,0.0
197,"Buses, motor coaches, and trolley buses",Malta,2021,6.896
198,"Buses, motor coaches, and trolley buses",Malta,2022,2.105
199,"Buses, motor coaches, and trolley buses",Malta,2023,27.192
200,"Buses, motor coaches, and trolley buses",Netherlands,2014,0.747
201,"Buses, motor coaches, and trolley buses",Netherlands,2015,3.488
202,"Buses, motor coaches, and trolley buses",Netherlands,2016,9.523
203,"Buses, motor coaches, and trolley buses",Netherlands,2017,15.67
204,"Buses, motor coaches, and trolley buses",Netherlands,2018,18.327
205,"Buses, motor coaches, and trolley buses",Netherlands,2019,40.748
206,"Buses, motor coaches, and trolley buses",Netherlands,2020,69.362
207,"Buses, motor coaches, and trolley buses",Netherlands,2021,55.917
208,"Buses, motor coaches, and trolley buses",Netherlands,2022,45.991
209,"Buses, motor coaches, and trolley buses",Netherlands,2023,47.582
210,"Buses, motor coaches, and trolley buses",Poland,2014,0.601
211,"Buses, motor coaches, and trolley buses",Poland,2015,0.968
212,"Buses, motor coaches, and trolley buses",Poland,2016,0.413
213,"Buses, motor coaches, and trolley buses",Poland,2017,2.574
214,"Buses, motor coaches, and trolley buses",Poland,2018,0.887
215,"Buses, motor coaches, and trolley buses",Poland,2019,1.806
216,"Buses, motor coaches, and trolley buses",Poland,2020,12.57
217,"Buses, motor coaches, and trolley buses",Poland,2021,15.336
218,"Buses, motor coaches, and trolley buses",Poland,2022,15.211
219,"Buses, motor coaches, and trolley buses",Poland,2023,22.796
220,"Buses, motor coaches, and trolley buses",Portugal,2014,0.0
221,"Buses, motor coaches, and trolley buses",Portugal,2015,0.0
222,"Buses, motor coaches, and trolley buses",Portugal,2016,0.0
223,"Buses, motor coaches, and trolley buses",Portugal,2017,0.0
224,"Buses, motor coaches, and trolley buses",Portugal,2018,4.199
