,source,target,value,year
453,0,8,8.14,2022
454,1,8,20.67,2022
455,3,8,23.86,2022
456,2,8,14.03,2023
457,0,8,8.1,2023
458,1,8,19.89,2023
459,3,8,23.72,2023
460,2,18,4.41,2014
461,0,18,2.28,2014
462,1,18,2.78,2014
463,3,18,5.46,2014
464,2,18,4.53,2017
465,0,18,2.3,2017
466,1,18,2.8,2017
467,3,18,5.79,2017
468,2,18,4.55,2018
469,0,18,2.38,2018
470,1,18,2.88,2018
471,3,18,5.85,2018
472,2,18,4.62,2019
473,0,18,2.36,2019
474,1,18,2.89,2019
475,3,18,5.98,2019
476,2,18,4.45,2020
477,0,18,2.16,2020
478,1,18,3.01,2020
479,3,18,5.0,2020
480,2,17,4.53,2021
481,0,17,2.19,2021
482,1,17,3.02,2021
483,3,17,5.47,2021
484,2,17,4.5,2022
485,0,17,2.38,2022
486,1,17,2.97,2022
487,3,17,5.79,2022
488,2,17,4.31,2023
489,0,17,2.42,2023
490,1,17,3.02,2023
491,3,17,6.17,2023
492,2,16,6.43,2014
493,0,16,1.77,2014
494,1,16,7.41,2014
495,3,16,5.27,2014
496,2,16,6.42,2015
497,0,16,1.76,2015
498,1,16,7.38,2015
499,3,16,5.34,2015
500,2,16,6.26,2016
501,0,16,1.81,2016
502,1,16,7.41,2016
503,3,16,5.74,2016
504,2,16,6.44,2017
505,0,16,1.86,2017
506,1,16,7.73,2017
507,3,16,6.15,2017
508,2,16,6.61,2018
509,0,16,1.98,2018
510,1,16,7.78,2018
511,3,16,6.3,2018
512,2,16,6.66,2019
513,0,16,1.96,2019
514,1,16,7.75,2019
515,3,16,6.57,2019
516,2,15,6.44,2020
517,0,15,1.83,2020
518,1,15,8.01,2020
519,3,15,6.46,2020
520,2,14,6.86,2021
521,0,14,1.85,2021
522,1,14,8.76,2021
523,3,14,6.88,2021
524,2,14,5.74,2022
525,0,14,1.91,2022
526,1,14,7.89,2022
527,3,14,7.44,2022
528,2,13,4.96,2023
529,0,13,2.05,2023
530,1,13,7.55,2023
531,3,13,7.7,2023
532,2,12,10.8,2014
533,0,12,3.96,2014
534,1,12,7.23,2014
535,3,12,7.15,2014
536,2,12,11.02,2015
537,0,12,4.02,2015
538,1,12,7.41,2015
539,3,12,7.3,2015
540,2,12,10.97,2016
541,0,12,4.22,2016
542,1,12,7.66,2016
543,3,12,7.22,2016
544,2,12,10.92,2017
545,0,12,3.99,2017
546,1,12,7.7,2017
547,3,12,7.31,2017
548,2,12,11.01,2018
549,0,12,4.12,2018
550,1,12,7.49,2018
551,3,12,7.13,2018
552,2,12,10.89,2019
553,0,12,4.02,2019
554,1,12,7.36,2019
555,3,12,7.03,2019
556,2,12,11.15,2020
557,0,12,4.01,2020
558,1,12,7.18,2020
559,3,12,6.61,2020
560,2,11,11.12,2021
561,0,11,4.26,2021
562,1,11,7.88,2021
563,3,11,6.82,2021
564,2,11,11.05,2022
565,0,11,4.21,2022
566,1,11,7.06,2022
567,3,11,6.58,2022
568,2,10,11.35,2023
569,0,10,4.17,2023
570,1,10,7.05,2023
571,3,10,6.49,2023
572,2,9,20.57,2014
573,0,9,4.66,2014
574,1,9,20.36,2014
575,3,9,10.3,2014
576,2,9,16.38,2015
577,0,9,3.89,2015
578,1,9,16.55,2015
579,3,9,8.72,2015
580,2,9,15.51,2016
581,0,9,4.67,2016
582,1,9,17.35,2016
583,3,9,9.13,2016
584,2,9,15.09,2017
585,0,9,4.34,2017
586,1,9,16.48,2017
587,3,9,9.59,2017
588,2,9,16.42,2018
589,0,9,4.72,2018
590,1,9,15.99,2018
591,3,9,9.42,2018
592,2,9,16.13,2019
593,0,9,4.83,2019
594,1,9,14.02,2019
595,3,9,10.03,2019
596,2,9,15.98,2020
597,0,9,4.87,2020
598,1,9,13.65,2020
599,3,9,8.02,2020
600,13,29,0.34,2014
601,13,21,0.08,2014
602,13,19,5.18,2014
603,13,22,4.38,2014
604,13,20,1.6,2014
605,13,24,,2014
606,13,25,8.88,2014
607,13,27,0.0,2014
608,13,28,4.06,2014
609,13,26,0.0,2014
610,13,23,0.24,2014
611,13,29,0.35,2015
612,13,21,0.08,2015
613,13,19,5.26,2015
614,13,22,4.56,2015
615,13,20,1.66,2015
616,13,24,,2015
617,13,25,9.07,2015
618,13,27,0.0,2015
619,13,28,4.25,2015
620,13,26,0.0,2015
621,13,23,0.24,2015
622,13,29,0.36,2016
623,13,21,0.1,2016
624,13,19,5.34,2016
625,13,22,4.73,2016
626,13,20,1.73,2016
627,13,24,,2016
628,13,25,9.28,2016
629,13,27,0.0,2016
630,13,28,4.29,2016
631,13,26,0.0,2016
632,13,23,0.27,2016
633,13,29,0.33,2017
634,13,21,0.1,2017
635,13,19,5.42,2017
636,13,22,4.79,2017
637,13,20,1.8,2017
638,13,24,,2017
639,13,25,9.49,2017
640,13,27,0.0,2017
641,13,28,4.3,2017
642,13,26,0.0,2017
643,13,23,0.26,2017
644,13,29,0.31,2018
645,13,21,0.09,2018
646,13,19,5.46,2018
647,13,22,4.66,2018
648,13,20,1.71,2018
649,13,24,,2018
650,13,25,9.45,2018
651,13,27,0.0,2018
652,13,28,4.1,2018
653,13,26,0.0,2018
654,13,23,0.27,2018
655,13,29,0.31,2019
656,13,21,0.1,2019
657,13,19,5.46,2019
658,13,22,4.78,2019
659,13,20,1.7,2019
660,13,24,,2019
661,13,25,9.47,2019
662,13,27,0.0,2019
663,13,28,4.16,2019
664,13,26,0.0,2019
665,13,23,0.24,2019
666,13,29,0.34,2020
667,13,21,0.08,2020
668,13,19,5.29,2020
669,13,22,4.69,2020
670,13,20,1.72,2020
671,13,24,,2020
672,13,25,8.44,2020
673,13,27,0.0,2020
674,13,28,4.06,2020
675,13,26,0.0,2020
676,13,23,0.25,2020
677,12,29,0.24,2021
678,12,21,0.11,2021
679,12,19,5.54,2021
680,12,22,4.94,2021
681,12,20,1.88,2021
682,12,24,,2021
683,12,25,8.83,2021
684,12,27,0.0,2021
685,12,28,4.61,2021
686,12,26,0.0,2021
687,12,23,0.25,2021
